cow_id,bull_id
DE00000028635,US00000000795
FR00000011732,US00000000795
DE00000023145,US00000000795
DE00000014083,US00000000795
NL00000004886,US00000000795
DE00000027440,US00000000795
US00000069140,US00000000795
GB00000083297,US00000000795
GB00000024686,US00000000795
GB00000017595,US00000000795
NL00000027867,US00000000795
DE00000023455,US00000000795
GB00000009133,US00000000795
RU00000045502,US00000000795
US00000011575,US00000000795
US00000033490,US00000000795
NL00000028599,US00000000795
US00000006228,US00000000795
NL00000074190,US00000000795
DE00000021659,US00000000795
RU00000029036,US00000000795
NL00000017666,US00000000795
GB00000029511,US00000000795
NL00000023844,US00000000795
US00000014607,US00000000795
DE00000026925,US00000000795
NL00000016724,US00000000795
NL00000009484,US00000000795
DE00000022602,US00000000795
NL00000020384,US00000000795
RU00000008446,US00000000795
DE00000015455,US00000000795
NL00000036352,US00000000795
US00000040481,US00000000795
RU00000027070,US00000000795
NL00000022777,US00000000795
NL00000028674,US00000000795
RU00000009150,US00000000795
US00000025219,US00000000795
FR00000026962,US00000000795
GB00000028841,US00000000795
NL00000046217,US00000000795
NL00000018762,US00000000795
US00000028678,US00000000795
RU00000051688,US00000000795
FR00000035718,US00000000795
DE00000049723,US00000000795
US00000050005,US00000000795
DE00000024184,US00000000795
RU00000047601,US00000000795
GB00000018789,US00000000795
US00000024767,US00000000795
NL00000034911,US00000000795
US00000046296,US00000000795
NL00000014641,US00000000795
US00000050057,US00000000795
DE00000031713,US00000000795
RU00000028700,US00000000795
FR00000014676,US00000000795
FR00000050214,US00000000795
GB00000035378,US00000000795
GB00000041107,US00000000795
NL00000009246,US00000000795
US00000038504,US00000000795
FR00000034307,US00000000795
RU00000008482,US00000000795
GB00000029364,US00000000795
GB00000038519,US00000000795
DE00000039487,US00000000795
US00000016405,US00000000795
GB00000038572,US00000000795
RU00000015803,US00000000795
US00000005054,US00000000795
NL00000038599,US00000000795
NL00000020820,US00000000795
DE00000023012,US00000000795
NL00000022608,US00000000795
FR00000010606,US00000000795
NL00000005196,US00000000795
NL00000011502,US00000000795
GB00000010033,US00000000795
US00000045580,US00000000795
GB00000016350,US00000000795
US00000008709,US00000000795
RU00000014619,US00000000795
US00000050014,US00000000795
US00000024993,US00000000795
US00000026948,US00000000795
US00000046732,US00000000795
FR00000048401,US00000000795
NL00000050026,US00000000795
GB00000041197,US00000000795
RU00000039923,US00000000795
US00000027014,US00000000795
NL00000045022,US00000000795
NL00000023885,US00000000795
RU00000047147,US00000000795
FR00000050059,US00000000795
DE00000047382,US00000000795
US00000016616,US00000000795
US00000047632,US00000000795
FR00000044957,US00000000795
NL00000066836,US00000000795
US00000029084,US00000000795
RU00000045644,US00000000795
US00000004307,US00000000795
DE00000005896,US00000000795
GB00000015350,US00000000795
RU00000024120,US00000000795
FR00000030849,US00000000795
NL00000015371,US00000000795
FR00000029471,US00000000795
US00000047436,US00000000795
RU00000072918,US00000000795
RU00000047362,US00000000795
NL00000013971,US00000000795
FR00000041548,US00000000795
US00000011133,US00000000795
US00000027976,US00000000795
GB00000026941,US00000000795
DE00000027145,US00000000795
GB00000047990,US00000000795
NL00000044501,US00000000795
US00000047718,US00000000795
GB00000041482,US00000000795
RU00000026906,US00000000795
RU00000050113,US00000000795
NL00000029696,US00000000795
FR00000019764,US00000000795
US00000006938,US00000000795
DE00000046355,US00000000795
FR00000041882,US00000000795
US00000040013,US00000000795
DE00000006374,US00000000795
GB00000026964,US00000000795
NL00000027101,US00000000795
RU00000005610,US00000000795
FR00000019999,US00000000795
DE00000013249,US00000000795
NL00000020977,US00000000795
GB00000006247,US00000000795
FR00000032554,US00000000795
US00000049847,US00000000795
NL00000037686,US00000000795
DE00000022255,US00000000795
US00000034558,US00000000795
DE00000050007,US00000000795
NL00000020495,US00000000795
FR00000038493,US00000000795
GB00000006059,US00000000795
US00000050126,US00000000795
NL00000038555,US00000000795
NL00000022108,US00000000795
RU00000008815,US00000000795
US00000050090,US00000000795
FR00000028873,US00000000795
DE00000039053,US00000000795
NL00000028304,US00000000795
GB00000022520,US00000000795
GB00000042407,US00000000795
DE00000043456,US00000000795
RU00000050169,US00000000795
RU00000023171,US00000000795
NL00000031925,US00000000795
GB00000031336,US00000000795
US00000042242,US00000000795
GB00000008667,US00000000795
DE00000024528,US00000000795
RU00000038503,US00000000795
GB00000004896,US00000000795
NL00000036951,US00000000795
GB00000041777,US00000000795
RU00000013799,US00000000795
NL00000038447,US00000000795
US00000030690,US00000000795
GB00000024547,US00000000795
FR00000011860,US00000000795
US00000050095,US00000000795
US00000044508,US00000000795
GB00000026950,US00000000795
FR00000028232,US00000000795
NL00000024808,US00000000795
GB00000038491,US00000000795
FR00000046842,US00000000795
FR00000030472,US00000000795
DE00000018488,US00000000795
RU00000028512,US00000000795
DE00000032226,US00000000795
RU00000035047,US00000000795
RU00000031964,US00000000795
FR00000052823,US00000000795
DE00000067375,US00000000795
DE00000034031,US00000000795
DE00000007693,US00000000795
US00000038474,US00000000795
DE00000048286,US00000000795
US00000004969,US00000000795
NL00000081403,US00000000795
RU00000023593,US00000000795
RU00000046018,US00000000795
US00000050065,US00000000795
FR00000021240,US00000000795
RU00000040187,US00000000795
FR00000027028,US00000000795
NL00000034760,US00000000795
US00000021256,US00000000795
DE00000037385,US00000000795
GB00000044290,US00000000795
FR00000050044,US00000000795
FR00000013566,US00000000795
GB00000016896,US00000000795
DE00000043574,US00000000795
NL00000034704,US00000000795
DE00000038680,US00000000795
US00000029568,US00000000795
DE00000024276,US00000000795
RU00000040890,US00000000795
DE00000047993,US00000000795
GB00000026911,US00000000795
GB00000012206,US00000000795
US00000026870,US00000000795
RU00000046862,US00000000795
RU00000050269,US00000000795
GB00000015377,US00000000795
GB00000046828,US00000000795
RU00000003115,US00000000795
FR00000007604,US00000000795
